Accession.ID	Virus.name	Passage.details.history	Collection.date	Pango.lineage	Continent	Country	Province	Region	Region.2
EPI_ISL_11739706	hCoV-19/Thailand/NIC_KRI_SEQ12517/2022	Original	2022-03-08	BA.1.1	Asia	Thailand	Kanchanaburi	non-BMR	Thailand
EPI_ISL_11739707	hCoV-19/Thailand/NIC_SKN_SEQ12518/2022	Original	2022-03-09	BA.1.17	Asia	Thailand	Samut Sakhon	BMR	Thailand
EPI_ISL_11739708	hCoV-19/Thailand/NIC_SKM_SEQ12522/2022	Original	2022-03-10	BA.2.3	Asia	Thailand	Samut Songkhram	non-BMR	Thailand
EPI_ISL_11739709	hCoV-19/Thailand/NIC_SKM_SEQ12524/2022	Original	2022-03-10	BA.1	Asia	Thailand	Samut Songkhram	non-BMR	Thailand
EPI_ISL_11739710	hCoV-19/Thailand/NIC_SKN_SEQ12526/2022	Original	2022-03-11	BA.1.17	Asia	Thailand	Samut Songkhram	non-BMR	Thailand
EPI_ISL_11739711	hCoV-19/Thailand/NIC_NBI_SEQ12541/2022	Original	2022-03	BA.2.3	Asia	Thailand	Nonthaburi	BMR	Thailand
EPI_ISL_11739712	hCoV-19/Thailand/NIC_NBI_SEQ12542/2022	Original	2022-03	BA.2.9.5	Asia	Thailand	Nonthaburi	BMR	Thailand
EPI_ISL_11739713	hCoV-19/Thailand/NIC_NBI_SEQ12543/2022	Original	2022-03	BA.2	Asia	Thailand	Nonthaburi	BMR	Thailand
EPI_ISL_11739714	hCoV-19/Thailand/NIC_NBI_SEQ12544/2022	Original	2022-03	BA.2	Asia	Thailand	Nonthaburi	BMR	Thailand
EPI_ISL_11741223	hCoV-19/England/NORT-YNNO3O9/2022	Original	2022	BA.2	Europe	United Kingdom	NA	Europe	Non-Thailand
EPI_ISL_11742013	hCoV-19/England/NORT-YNNT5CR/2022	Original	2022	BA.2	Europe	United Kingdom	NA	Europe	Non-Thailand
EPI_ISL_11752485	hCoV-19/England/PHWC-PJKRZS/2022	Original	2022-03-14	BA.2	Europe	United Kingdom	NA	Europe	Non-Thailand
EPI_ISL_11753250	hCoV-19/Wales/PHWC-PJMKWW/2022	Original	2022-03-14	BA.2	Europe	United Kingdom	NA	Europe	Non-Thailand
EPI_ISL_11753479	hCoV-19/Thailand/NIC_SNI_10141/2022	Original	2022-02	BA.2	Asia	Thailand	Surat Thani	non-BMR	Thailand
EPI_ISL_11753480	hCoV-19/Thailand/NIC_SNI_10142/2022	Original	2022-02	B.1.1.529	Asia	Thailand	Surat Thani	non-BMR	Thailand
EPI_ISL_11753481	hCoV-19/Thailand/NIC_SNI_10145/2022	Original	2022-02	BA.1.1	Asia	Thailand	Surat Thani	non-BMR	Thailand
EPI_ISL_11753482	hCoV-19/Thailand/NIC_SNI_7937/2022	Original	2022-01-23	BA.1	Asia	Thailand	Surat Thani	non-BMR	Thailand
EPI_ISL_11753484	hCoV-19/Thailand/NIC_SNI_7939/2022	Original	2022-01-23	BA.1.1	Asia	Thailand	Surat Thani	non-BMR	Thailand
EPI_ISL_11753485	hCoV-19/Thailand/NIC_SNI_7940/2022	Original	2022-01-23	BA.1.17	Asia	Thailand	Surat Thani	non-BMR	Thailand
EPI_ISL_11753486	hCoV-19/Thailand/NIC_SNI_7941/2022	Original	2022-01-23	BA.1.1	Asia	Thailand	Surat Thani	non-BMR	Thailand
EPI_ISL_11753487	hCoV-19/Thailand/NIC_BKK_10149/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753488	hCoV-19/Thailand/NIC_BKK_10152/2022	Original	2022-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753489	hCoV-19/Thailand/NIC_BKK_10173/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753490	hCoV-19/Thailand/NIC_CNT_10065/2022	Original	2022-02-20	BA.1.1	Asia	Thailand	Chai Nat	non-BMR	Thailand
EPI_ISL_11753491	hCoV-19/Thailand/NIC_CNT_10066/2022	Original	2022-02-21	BA.2	Asia	Thailand	Chai Nat	non-BMR	Thailand
EPI_ISL_11753492	hCoV-19/Thailand/NIC_CNT_10069/2022	Original	2022-02-18	BA.1.1	Asia	Thailand	Chai Nat	non-BMR	Thailand
EPI_ISL_11753493	hCoV-19/Thailand/NIC_MSN_6220/2022	Original	2022-01-14	BA.1.1	Asia	Thailand	Mae Hong Son	non-BMR	Thailand
EPI_ISL_11753494	hCoV-19/Thailand/NIC_MSN_6221/2022	Original	2022-01-14	BA.1	Asia	Thailand	Mae Hong Son	non-BMR	Thailand
EPI_ISL_11753495	hCoV-19/Thailand/NIC_TRG_6229/2022	Original	2022-01-19	BA.1.17	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753496	hCoV-19/Thailand/NIC_TRG_6230/2022	Original	2022-01-20	BA.1	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753497	hCoV-19/Thailand/NIC_TRG_6231/2022	Original	2022-01-20	BA.1.1	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753500	hCoV-19/Thailand/NIC_BKK_10237/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753501	hCoV-19/Thailand/NIC_BKK_10238/2022	Original	2022-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753502	hCoV-19/Thailand/NIC_BKK_10247/2022	Original	2022-02-26	BA.2.9.5	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753503	hCoV-19/Thailand/NIC_BKK_10248/2022	Original	2022-02-27	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753504	hCoV-19/Thailand/NIC_BKK_10252/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753505	hCoV-19/Thailand/NIC_BKK_10261/2022	Original	2022-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753506	hCoV-19/Thailand/NIC_BKK_10370/2022	Original	2022-02-27	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753507	hCoV-19/Thailand/NIC_BKK_10422/2022	Original	2022-02-28	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753508	hCoV-19/Thailand/NIC_BKK_10425/2022	Original	2022-02	BA.2.10.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753509	hCoV-19/Thailand/NIC_BKK_10429/2022	Original	2022-02-27	BA.2.3.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753510	hCoV-19/Thailand/NIC_BKK_10432/2022	Original	2022-02-26	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753511	hCoV-19/Thailand/NIC_BKK_10433/2022	Original	2022-02-26	BA.2.10.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753512	hCoV-19/Thailand/NIC_NBI_10453/2022	Original	2022-02-24	BA.1.1	Asia	Thailand	Nonthaburi	BMR	Thailand
EPI_ISL_11753513	hCoV-19/Thailand/NIC_NBI_10454/2022	Original	2022-02-24	BA.2	Asia	Thailand	Nonthaburi	BMR	Thailand
EPI_ISL_11753514	hCoV-19/Thailand/NIC_BKK_10459/2022	Original	2022-02	BA.2.27	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753515	hCoV-19/Thailand/NIC_BKK_10460/2022	Original	2022-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11753516	hCoV-19/Thailand/NIC_NBI_10457/2022	Original	2022-02	BA.2.3	Asia	Thailand	Nonthaburi	BMR	Thailand
EPI_ISL_11753517	hCoV-19/Thailand/NIC_NBI_10458/2022	Original	2022-02-21	BA.2.3	Asia	Thailand	Nonthaburi	BMR	Thailand
EPI_ISL_11753518	hCoV-19/Thailand/NIC_TRG_10592/2022	Original	2022-02-21	BA.2.9.5	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753519	hCoV-19/Thailand/NIC_TRG_10593/2022	Original	2022-02-21	BA.2.9.5	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753520	hCoV-19/Thailand/NIC_TRG_10594/2022	Original	2022-02-20	BA.1	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753521	hCoV-19/Thailand/NIC_TRG_10595/2022	Original	2022-02-21	BA.2	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753522	hCoV-19/Thailand/NIC_TRG_10596/2022	Original	2022-02-20	BA.2	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753523	hCoV-19/Thailand/NIC_TRG_10597/2022	Original	2022-02-20	BA.1.1	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753524	hCoV-19/Thailand/NIC_TRG_10598/2022	Original	2022-02-23	BA.1.1	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753525	hCoV-19/Thailand/NIC_TRG_10599/2022	Original	2022-02-24	BA.2.9.5	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11753526	hCoV-19/Thailand/NIC_TRG_10600/2022	Original	2022-02-24	BA.2.9.5	Asia	Thailand	Trang	non-BMR	Thailand
EPI_ISL_11754532	hCoV-19/Thailand/NIC_CMI_12080/2022	Original	2022-03	BA.2.9.5	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754533	hCoV-19/Thailand/NIC_CMI_12082/2022	Original	2022-03	BA.1	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754534	hCoV-19/Thailand/NIC_LPN_12085/2022	Original	2022-03	BA.1.1	Asia	Thailand	Lamphun	non-BMR	Thailand
EPI_ISL_11754535	hCoV-19/Thailand/NIC_LPN_12086/2022	Original	2022-03	BA.1.1	Asia	Thailand	Lamphun	non-BMR	Thailand
EPI_ISL_11754536	hCoV-19/Thailand/NIC_SKM_11658/2022	Original	2022-03-01	BA.2	Asia	Thailand	Samut Songkhram	non-BMR	Thailand
EPI_ISL_11754537	hCoV-19/Thailand/NIC_NPT_11659/2022	Original	2022-03-01	BA.1.1	Asia	Thailand	Nakhon Pathom	BMR	Thailand
EPI_ISL_11754538	hCoV-19/Thailand/NIC_SKM_11660/2022	Original	2022-03-03	BA.1.1	Asia	Thailand	Samut Songkhram	non-BMR	Thailand
EPI_ISL_11754539	hCoV-19/Thailand/NIC_SKN_11661/2022	Original	2022-03-04	BA.2.3	Asia	Thailand	Samut Sakhon	BMR	Thailand
EPI_ISL_11754540	hCoV-19/Thailand/NIC_SKM_11662/2022	Original	2022-03-07	BA.1.1	Asia	Thailand	Samut Songkhram	non-BMR	Thailand
EPI_ISL_11754541	hCoV-19/Thailand/NIC_UDN_11881/2022	Original	2022-03	BA.1.1	Asia	Thailand	Udon Thani	non-BMR	Thailand
EPI_ISL_11754542	hCoV-19/Thailand/NIC_NKI_11882/2022	Original	2022-03	BA.2	Asia	Thailand	Nong Khai	non-BMR	Thailand
EPI_ISL_11754543	hCoV-19/Thailand/NIC_UDN_11883/2022	Original	2022-03	BA.2.10.1	Asia	Thailand	Udon Thani	non-BMR	Thailand
EPI_ISL_11754544	hCoV-19/Thailand/NIC_UDN_11884/2022	Original	2022-03	BA.1.1	Asia	Thailand	Udon Thani	non-BMR	Thailand
EPI_ISL_11754549	hCoV-19/Thailand/NIC_PRE_11891/2022	Original	2022-03-10	BA.1.1	Asia	Thailand	Phrae	non-BMR	Thailand
EPI_ISL_11754550	hCoV-19/Thailand/NIC_PRE_11892/2022	Original	2022-03-11	BA.1.1	Asia	Thailand	Phrae	non-BMR	Thailand
EPI_ISL_11754554	hCoV-19/Thailand/NIC_PLK_11912/2022	Original	2022-03	BA.1.1	Asia	Thailand	Phitsanulok	non-BMR	Thailand
EPI_ISL_11754555	hCoV-19/Thailand/NIC_PLK_11913/2022	Original	2022-03	BA.2.10	Asia	Thailand	Phitsanulok	non-BMR	Thailand
EPI_ISL_11754556	hCoV-19/Thailand/NIC_TAK_11914/2022	Original	2022-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_11754557	hCoV-19/Thailand/NIC_TAK_11915/2022	Original	2022-03	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_11754558	hCoV-19/Thailand/NIC_TAK_11916/2022	Original	2022-03	BA.1.1.15	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_11754559	hCoV-19/Thailand/NIC_TAK_11917/2022	Original	2022-03	BA.2.9.5	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_11754560	hCoV-19/Thailand/NIC_AYA_12040/2022	Original	2022-03	BA.2.10	Asia	Thailand	Phra Nakhon Si Ayutthaya	non-BMR	Thailand
EPI_ISL_11754561	hCoV-19/Thailand/NIC_SRI_12041/2022	Original	2022-03	BA.1.1	Asia	Thailand	Saraburi	non-BMR	Thailand
EPI_ISL_11754562	hCoV-19/Thailand/NIC_PTE_12042/2022	Original	2022-03	BA.2	Asia	Thailand	Pathum Thani	BMR	Thailand
EPI_ISL_11754563	hCoV-19/Thailand/NIC_LRI_12044/2022	Original	2022-03	BA.2.9.5	Asia	Thailand	Lop Buri	non-BMR	Thailand
EPI_ISL_11754564	hCoV-19/Thailand/NIC_ATG_12045/2022	Original	2022-03	BA.1.1	Asia	Thailand	Ang Thong	non-BMR	Thailand
EPI_ISL_11754565	hCoV-19/Thailand/NIC_AYA_12046/2022	Original	2022-03	BA.1.1	Asia	Thailand	Phra Nakhon Si Ayutthaya	non-BMR	Thailand
EPI_ISL_11754566	hCoV-19/Thailand/NIC_SRI_12047/2022	Original	2022-03	BA.1.1	Asia	Thailand	Saraburi	non-BMR	Thailand
EPI_ISL_11754567	hCoV-19/Thailand/NIC_AYA_12048/2022	Original	2022-03	BA.2	Asia	Thailand	Phra Nakhon Si Ayutthaya	non-BMR	Thailand
EPI_ISL_11754568	hCoV-19/Thailand/NIC_SRI_12049/2022	Original	2022-03	BA.1.1	Asia	Thailand	Saraburi	non-BMR	Thailand
EPI_ISL_11754569	hCoV-19/Thailand/NIC_KSN_12060/2022	Original	2022-03	BA.1.1	Asia	Thailand	Kalasin	non-BMR	Thailand
EPI_ISL_11754570	hCoV-19/Thailand/NIC_KSN_12061/2022	Original	2022-03	BA.2.10	Asia	Thailand	Kalasin	non-BMR	Thailand
EPI_ISL_11754571	hCoV-19/Thailand/NIC_MKM_12062/2022	Original	2022-03	BA.1.17	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_11754572	hCoV-19/Thailand/NIC_MKM_12063/2022	Original	2022-03	BA.2.10	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_11754573	hCoV-19/Thailand/NIC_RET_12064/2022	Original	2022-03	BA.1.1	Asia	Thailand	Roi Et	non-BMR	Thailand
EPI_ISL_11754574	hCoV-19/Thailand/NIC_MKM_12073/2022	Original	2022-03	BA.1.1	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_11754575	hCoV-19/Thailand/NIC_MKM_12074/2022	Original	2022-03	BA.2.10	Asia	Thailand	Maha Sarakham	non-BMR	Thailand
EPI_ISL_11754576	hCoV-19/Thailand/NIC_RET_12075/2022	Original	2022-03	BA.1.1	Asia	Thailand	Roi Et	non-BMR	Thailand
EPI_ISL_11754577	hCoV-19/Thailand/NIC_RET_12076/2022	Original	2022-03	BA.2.10	Asia	Thailand	Roi Et	non-BMR	Thailand
EPI_ISL_11754578	hCoV-19/Thailand/NIC_CMI_12081/2022	Original	2022-03	BA.1.1	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754579	hCoV-19/Thailand/NIC_CMI_12083/2022	Original	2022-03	BA.1.1	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754580	hCoV-19/Thailand/NIC_CMI_12084/2022	Original	2022-03	BA.1.1	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754581	hCoV-19/Thailand/NIC_CMI_12087/2022	Original	2022-03	BA.2	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754582	hCoV-19/Thailand/NIC_CMI_12089/2022	Original	2022-03	BA.2.9.5	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754786	hCoV-19/Thailand/NIC_BKK_10200/2022	Original	2022-02-24	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754787	hCoV-19/Thailand/NIC_BKK_10201/2022	Original	2022-02-24	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754788	hCoV-19/Thailand/NIC_BKK_10229/2022	Original	2022-02	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754790	hCoV-19/Thailand/NIC_BKK_10239/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754791	hCoV-19/Thailand/NIC_BKK_10243/2022	Original	2022-02-26	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754792	hCoV-19/Thailand/NIC_BKK_10244/2022	Original	2022-02-26	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754793	hCoV-19/Thailand/NIC_BKK_10245/2022	Original	2022-02-26	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754795	hCoV-19/Thailand/NIC_BKK_10266/2022	Original	2022-02	BA.2.64	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754796	hCoV-19/Thailand/NIC_BKK_10270/2022	Original	2022-02-24	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754797	hCoV-19/Thailand/NIC_BKK_10271/2022	Original	2022-02-26	BA.2.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754798	hCoV-19/Thailand/NIC_BKK_10287/2022	Original	2022-02-24	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754800	hCoV-19/Thailand/NIC_BKK_10336/2022	Original	2022-02	BA.1.1.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754801	hCoV-19/Thailand/NIC_BKK_10337/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754802	hCoV-19/Thailand/NIC_BKK_10338/2022	Original	2022-02	BA.2.9.5	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754803	hCoV-19/Thailand/NIC_BKK_10339/2022	Original	2022-02-26	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754804	hCoV-19/Thailand/NIC_BKK_10340/2022	Original	2022-02-26	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754805	hCoV-19/Thailand/NIC_BKK_10369/2022	Original	2022-02-27	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754806	hCoV-19/Thailand/NIC_BKK_10371/2022	Original	2022-02-27	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754807	hCoV-19/Thailand/NIC_BKK_10380/2022	Original	2022-02-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754808	hCoV-19/Thailand/NIC_BKK_10381/2022	Original	2022-02-04	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754809	hCoV-19/Thailand/NIC_NBI_10447/2022	Original	2022-02-27	BA.2.9.5	Asia	Thailand	Nonthaburi	BMR	Thailand
EPI_ISL_11754810	hCoV-19/Thailand/NIC_NBI_10448/2022	Original	2022-02-27	BA.1.16.1	Asia	Thailand	Nonthaburi	BMR	Thailand
EPI_ISL_11754811	hCoV-19/Thailand/NIC_BKK_10461/2022	Original	2022-02	BA.2.27	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754812	hCoV-19/Thailand/NIC_BKK_10462/2022	Original	2022-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754813	hCoV-19/Thailand/NIC_BKK_10463/2022	Original	2022-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754814	hCoV-19/Thailand/NIC_BKK_10479/2022	Original	2022-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754815	hCoV-19/Thailand/NIC_BKK_10480/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754816	hCoV-19/Thailand/NIC_BKK_10496/2022	Original	2022-02	BA.1.15	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754817	hCoV-19/Thailand/NIC_BKK_10497/2022	Original	2022-02	BA.2.9	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754818	hCoV-19/Thailand/NIC_BKK_10558/2022	Original	2022-02-23	BA.1.1.18	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754819	hCoV-19/Thailand/NIC_BKK_10559/2022	Original	2022-02-23	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754821	hCoV-19/Thailand/NIC_BKK_10588/2022	Original	2022-02	BA.2.27	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754822	hCoV-19/Thailand/NIC_BKK_10631/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754823	hCoV-19/Thailand/NIC_BKK_10632/2022	Original	2022-02	BA.1.16	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754824	hCoV-19/Thailand/NIC_BKK_10690/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754825	hCoV-19/Thailand/NIC_BKK_10691/2022	Original	2022-02	BA.2.9	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754826	hCoV-19/Thailand/NIC_BKK_10769/2022	Original	2022-02	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754827	hCoV-19/Thailand/NIC_BKK_10770/2022	Original	2022-02	BA.2.3	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754828	hCoV-19/Thailand/NIC_BKK_10780/2022	Original	2022-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754829	hCoV-19/Thailand/NIC_BKK_10794/2022	Original	2022-02-28	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754830	hCoV-19/Thailand/NIC_BKK_10840/2022	Original	2022-03-02	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754831	hCoV-19/Thailand/NIC_BKK_10841/2022	Original	2022-03-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754832	hCoV-19/Thailand/NIC_BKK_10850/2022	Original	2022-03-03	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754833	hCoV-19/Thailand/NIC_BKK_10858/2022	Original	2022-02	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754834	hCoV-19/Thailand/NIC_BKK_10859/2022	Original	2022-02	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754835	hCoV-19/Thailand/NIC_BKK_10861/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754837	hCoV-19/Thailand/NIC_BKK_10894/2022	Original	2022-02	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754839	hCoV-19/Thailand/NIC_BKK_10997/2022	Original	2022-02-28	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754840	hCoV-19/Thailand/NIC_BKK_10998/2022	Original	2022-02	BA.2.3	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754841	hCoV-19/Thailand/NIC_BKK_10999/2022	Original	2022-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754842	hCoV-19/Thailand/NIC_BKK_11008/2022	Original	2022-02	BA.2.9	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754843	hCoV-19/Thailand/NIC_BKK_11009/2022	Original	2022-03-03	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754844	hCoV-19/Thailand/NIC_BKK_11010/2022	Original	2022-02	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754845	hCoV-19/Thailand/NIC_BKK_11026/2022	Original	2022-03-03	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754846	hCoV-19/Thailand/NIC_BKK_11027/2022	Original	2022-03-03	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754847	hCoV-19/Thailand/NIC_BKK_11028/2022	Original	2022-03-03	BA.2.10	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754848	hCoV-19/Thailand/NIC_BKK_11050/2022	Original	2022-03-03	BA.2.3.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754849	hCoV-19/Thailand/NIC_BKK_11056/2022	Original	2022-03-02	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754851	hCoV-19/Thailand/NIC_BKK_11063/2022	Original	2022-03-04	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754852	hCoV-19/Thailand/NIC_BKK_11065/2022	Original	2022-02	BA.2.10.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754853	hCoV-19/Thailand/NIC_BKK_11066/2022	Original	2022-02	BA.2.17	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754854	hCoV-19/Thailand/NIC_BKK_11075/2022	Original	2022-02	BA.2.3	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754856	hCoV-19/Thailand/NIC_BKK_11102/2022	Original	2022-03-04	BA.1.1	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754857	hCoV-19/Thailand/NIC_BKK_11103/2022	Original	2022-03-05	BA.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754858	hCoV-19/Thailand/NIC_BKK_11126/2022	Original	2022-02	BA.2.2	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754859	hCoV-19/Thailand/NIC_BKK_11127/2022	Original	2022-02	BA.2.9.5	Asia	Thailand	Bangkok	BMR	Thailand
EPI_ISL_11754862	hCoV-19/Thailand/NIC_CMI_11076/2022	Original	2022-02-19	BA.1.1	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754863	hCoV-19/Thailand/NIC_CMI_11080/2022	Original	2022-02-15	BA.1.1	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754864	hCoV-19/Thailand/NIC_CMI_11081/2022	Original	2022-02-19	BA.1.1	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754865	hCoV-19/Thailand/NIC_CMI_11082/2022	Original	2022-03-01	BA.2.9.5	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754866	hCoV-19/Thailand/NIC_CMI_11083/2022	Original	2022-03-01	BA.2.9	Asia	Thailand	Chiang Mai	non-BMR	Thailand
EPI_ISL_11754867	hCoV-19/Thailand/NIC_LPG_11084/2022	Original	2022-02-24	BA.1.1	Asia	Thailand	Lampang	non-BMR	Thailand
EPI_ISL_11754868	hCoV-19/Thailand/NIC_LPG_11085/2022	Original	2022-02-24	BA.1.1	Asia	Thailand	Lampang	non-BMR	Thailand
